province_name,climate,zones,population,size (km_),population_density (inh/km_)
ARUSHA,semi-temperate highland,Northern,1694310,37576,45.09021716
DAR ES SALAAM,coastal belt,Coastal,4364541,1393,3133.195262
DODOMA,central plateau,Central,2083588,41311,50.43663915
IRINGA,semi-temperate highland,Souther Highlands,941238,35503,26.51150607
KAGERA,high lake region,Lake,2458023,25265,97.28964971
KIGOMA,high lake region,Lake,2127930,37040,57.44951404
KILIMANJARO,semi-temperate highland,Northern,1640087,13250,123.7801509
LINDI,coastal belt,Coastal,864652,66040,13.09285282
MARA,high lake region,Lake,1425131,44522,32.00959076
MANYARA,semi-temperate highland,Northern,1743830,21760,80.13924632
MBEYA,semi-temperate highland,Souther Highlands,2707410,60350,44.86180613
MOROGORO,coastal belt,Coastal,2218492,70624,31.41272089
MTWARA,coastal belt,Coastal,1270854,16710,76.0535009
MWANZA,high lake region,Lake,2772509,9467,292.860357
PWANI,coastal belt,Zanzibar,1098668,32547,33.75635235
RUKWA,high lake region,Souther Highlands,1004539,22792,44.0741927
RUVUMA,high lake region,Souther Highlands,1376891,63669,21.62576764
SINGIDA,central plateau,Central,1370637,49340,27.77942846
SHINYANGA,high lake region,Lake,1534808,18901,81.20247606
TABORA,central plateau,Central,2291623,76150,30.09353907
TANGA,coastal belt,Northern,2045205,26677,76.66547963
GEITA,high lake region,Lake,1739530,20054,86.7422958
KATAVI,semi-temperate highland,Souther Highlands,564604,45843,12.31603516
NJOMBE,semi-temperate highland,Souther Highlands,702097,21347,32.88972689
SIMIYU,high lake region,Lake,1584157,25212,62.83345232
