province_name,disease_id,reported_deaths,age,year
ARUSHA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,8,Under 5,2012
DAR ES SALAAM,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
DODOMA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,55,Under 5,2012
IRINGA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,72,Under 5,2012
KAGERA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,15,Under 5,2012
KIGOMA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,3,Under 5,2012
KILIMANJARO,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,44,Under 5,2012
LINDI,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,15,Under 5,2012
MARA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,31,Under 5,2012
MANYARA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
MBEYA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,5,Under 5,2012
MOROGORO,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,24,Under 5,2012
MTWARA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,15,Under 5,2012
MWANZA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,18,Under 5,2012
PWANI,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,6,Under 5,2012
RUKWA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,31,Under 5,2012
RUVUMA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,3,Under 5,2012
SINGIDA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,12,Under 5,2012
SHINYANGA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,7,Under 5,2012
TABORA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,3,Under 5,2012
TANGA,5ed3cf7e-6e51-11e6-8b77-86f30ca893d3,8,Under 5,2012
ARUSHA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,23,Under 5,2012
DAR ES SALAAM,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,99,Under 5,2012
DODOMA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,37,Under 5,2012
IRINGA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,85,Under 5,2012
KAGERA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,65,Under 5,2012
KIGOMA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,32,Under 5,2012
KILIMANJARO,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,258,Under 5,2012
LINDI,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,3,Under 5,2012
MARA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,59,Under 5,2012
MANYARA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,16,Under 5,2012
MBEYA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,101,Under 5,2012
MOROGORO,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,35,Under 5,2012
MTWARA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,9,Under 5,2012
MWANZA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,85,Under 5,2012
PWANI,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,29,Under 5,2012
RUKWA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,70,Under 5,2012
RUVUMA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,11,Under 5,2012
SINGIDA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,21,Under 5,2012
SHINYANGA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,34,Under 5,2012
TABORA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,29,Under 5,2012
TANGA,5ed3d1fe-6e51-11e6-8b77-86f30ca893d3,25,Under 5,2012
ARUSHA,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
DAR ES SALAAM,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
DODOMA,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
IRINGA,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,3,Under 5,2012
KAGERA,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
KIGOMA,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
KILIMANJARO,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
LINDI,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
MARA,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
MANYARA,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
MBEYA,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,4,Under 5,2012
MOROGORO,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
MTWARA,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
MWANZA,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
PWANI,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
RUKWA,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,6,Under 5,2012
RUVUMA,5ed3d50a-6e51-11e6-8b77-86f30ca893d3,0,Under 5,2012
